Excipient,Tablet,Pellet,CP,Family,AoR,D10,D25,D50,D75,D90,Span,MPS,BD,TD,HR,CI,Y,K,E,DR5,DR20,DR45,DR75,DR105,DR150,DR210
PH-102,SPIM,EC,80,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,44.8,55.2,1.33,1.11,1.04,0.65,0.28,0.07,0.01
PH-102,SPIM,EC,80,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,39.51,60.49,1.57,1.37,0.99,0.48,0.21,0.03,0.03
PH-102,SPIM,EC,80,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,49.37,50.63,1.55,1.24,0.95,0.45,0.25,0.11,0.08
PH-102,SPIM,AC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,96.91,3.09,0.56,0.18,0.36,0.62,0.5,0.34,0.15
PH-102,SPIM,AC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,96.63,3.37,0.56,0.18,0.51,0.54,0.49,0.35,0.17
PH-102,SPIM,AC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,97.85,2.15,0.62,0.2,0.46,0.54,0.43,0.35,0.19
PH-102,SPIM,AC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,96.88,3.12,0.61,0.22,0.38,0.66,0.52,0.33,0.18
PH-102,SPIM,AC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,99.82,0.18,-0.11,0.28,0.57,0.56,0.6,0.3,0.18
PH-102,SPIM,AC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,97.07,2.93,0.46,0.2,0.47,0.6,0.55,0.32,0.18
PH-102,SPIM,AC,40,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,94.42,5.58,0.2,0.29,0.58,0.58,0.55,0.28,0.17
PH-102,SPIM,AC,40,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,96.87,3.13,0.27,0.33,0.51,0.49,0.54,0.3,0.18
PH-102,SPIM,AC,40,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,99.45,0.55,0.17,0.27,0.55,0.56,0.48,0.35,0.19
PH-102,SPIM,AC,40,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,97.9,2.1,0.21,0.28,0.53,0.63,0.5,0.36,0.17
PH-102,SPIM,AC,60,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,90.11,9.89,0.2,0.4,0.67,0.62,0.48,0.32,0.14
PH-102,SPIM,AC,60,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,88.23,11.77,0.31,0.51,0.66,0.67,0.46,0.29,0.17
PH-102,SPIM,AC,60,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,88.52,11.48,0.46,0.43,0.65,0.6,0.44,0.31,0.16
PH-102,SPIM,AC,60,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,86.98,13.02,0.37,0.36,0.73,0.7,0.47,0.32,0.13
PH-102,SPIM,AC,80,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,78.75,21.25,0.57,0.64,0.75,0.55,0.38,0.25,0.13
PH-102,SPIM,AC,80,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,78.69,21.31,0.61,0.67,0.78,0.5,0.51,0.27,0.12
PH-102,SPIM,AC,80,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,82.03,17.97,0.67,0.67,0.63,0.51,0.46,0.28,0.15
PH-102,SPIM,AC,80,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,80.06,19.94,0.63,0.52,0.72,0.59,0.36,0.26,0.13
UF-702,SPIM,EC,20,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,99.27,0.73,0.08,0.27,0.42,0.6,0.51,0.34,0.25
UF-702,SPIM,EC,20,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,97.03,2.97,0.06,0.27,0.48,0.52,0.54,0.38,0.2
UF-702,SPIM,EC,20,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,93.91,6.09,0.45,0.33,0.46,0.48,0.56,0.38,0.21
UF-702,SPIM,EC,20,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,92.74,7.26,0.21,0.28,0.48,0.61,0.51,0.39,0.17
UF-702,SPIM,EC,40,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,94,6,0.12,0.26,0.46,0.58,0.51,0.31,0.19
UF-702,SPIM,EC,40,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,94.06,5.94,0.27,0.24,0.49,0.56,0.57,0.36,0.19
UF-702,SPIM,EC,40,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,95.52,4.48,0.2,0.3,0.41,0.54,0.53,0.32,0.21
UF-702,SPIM,EC,40,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,97.13,2.87,0.22,0.25,0.41,0.53,0.59,0.37,0.2
UF-702,SPIM,EC,60,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,77.52,22.48,0.99,0.63,0.5,0.59,0.46,0.28,0.17
UF-702,SPIM,EC,60,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,74.25,25.75,0.83,1.35,0.73,0.45,0.27,0.17,0.11
