Excipient,Tablet,CP,Family,AoR,D10,D25,D50,D75,D90,Span,MPS,BD,TD,HR,CI,Y,K,E,DR5,DR20,DR45,DR75,DR105,DR150,DR210
PH-102,MUPS,80,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,28.60,71.40,3.50,1.74,0.64,0.20,0.10,0.03,0.05
PH-102,MUPS,80,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,18.37,81.63,4.57,1.61,0.57,0.10,0.01,0.02,0.00
PH-102,MUPS,80,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,21.19,78.81,3.85,1.72,0.55,0.26,0.07,0.03,-0.03
PH-102,MUPS,80,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,27.31,72.69,3.30,1.76,0.52,0.14,0.13,0.09,-0.01
PH-102,MUPS,80,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,22.44,77.56,4.03,1.69,0.50,0.23,0.04,0.02,0.01
PH-102,MUPS,20,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,86.03,13.97,0.81,0.56,0.60,0.60,0.40,0.35,0.17
PH-102,MUPS,20,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,81.81,18.19,0.92,0.47,0.53,0.52,0.41,0.29,0.12
PH-102,MUPS,20,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,75.14,24.86,0.70,0.65,0.60,0.42,0.47,0.22,0.09
PH-102,MUPS,20,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,91.27,8.73,0.41,0.43,0.60,0.43,0.44,0.30,0.17
PH-102,MUPS,40,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,75.52,24.48,0.68,0.76,0.68,0.53,0.30,0.24,0.12
PH-102,MUPS,40,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,78.64,21.36,0.75,0.75,0.67,0.45,0.42,0.26,0.14
PH-102,MUPS,40,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,69.38,30.62,0.73,0.80,0.72,0.63,0.31,0.24,0.07
PH-102,MUPS,40,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,78.45,21.55,0.72,0.71,0.67,0.52,0.45,0.21,0.16
PH-102,MUPS,60,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,62.70,37.30,1.20,1.17,0.68,0.52,0.30,0.16,0.11
PH-102,MUPS,60,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,62.73,37.27,0.88,1.20,0.89,0.41,0.28,0.16,0.11
PH-102,MUPS,60,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,63.78,36.22,1.25,0.95,0.74,0.41,0.38,0.20,0.08
PH-102,MUPS,60,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,47.81,52.19,1.37,1.52,0.87,0.40,0.21,0.10,0.05
PH-102,MUPS,80,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,33.95,66.05,2.36,1.89,0.73,0.18,0.17,0.05,0.02
PH-102,MUPS,80,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,30.40,69.60,2.48,1.96,0.60,0.27,0.11,0.04,0.00
PH-102,MUPS,80,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,33.31,66.69,2.35,1.83,0.74,0.21,0.11,0.06,0.02
PH-102,MUPS,80,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,44.21,55.79,1.76,1.63,0.89,0.30,0.14,0.10,0.06
UF-702,MUPS,20,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,75.22,24.78,0.43,0.65,0.72,0.59,0.37,0.27,0.13
UF-702,MUPS,20,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,86.36,13.64,0.17,0.54,0.60,0.62,0.55,0.31,0.18
UF-702,MUPS,20,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,85.29,14.71,0.14,0.38,0.57,0.63,0.54,0.33,0.11
UF-702,MUPS,20,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,86.98,13.02,0.48,0.42,0.50,0.53,0.53,0.29,0.19
UF-702,MUPS,40,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,65.98,34.02,1.00,0.90,0.60,0.56,0.43,0.23,0.10
UF-702,MUPS,40,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,59.93,40.07,0.55,0.54,0.79,0.58,0.44,0.25,0.15
UF-702,MUPS,40,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,68.27,31.73,0.87,0.96,0.77,0.54,0.31,0.22,0.05
UF-702,MUPS,40,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,58.79,41.21,0.99,0.73,0.64,0.45,0.40,0.27,0.09
